subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
89,combined,C-EXT-RPHC-UK,1.025,5.18125,160,1.41875,6.5,0.85,0.01875,0.39375000000000004
56,short,SB-XT-RPh----,0.8875,3.225,80,1.175,4.0,0.7875,0.025,0.2875000000000001
56,long,LBE-T-RPhCL--,1.2125,6.625,80,1.6625,9.1,0.9125,0.0125,0.4500000000000002
56,combined,C-EXT-RPHC-UK,1.05,4.925,160,1.41875,6.50625,0.85,0.01875,0.3687499999999999
4,short,SB-XT-RPh----,1.0375,4.025,80,1.225,4.0125,0.8,0.025,0.1875
4,long,LBE-T-RPhCL--,1.3125,7.475,80,1.6625,9.1375,0.9125,0.0125,0.3500000000000001
4,combined,C-EXT-RPHC-UK,1.175,5.75,160,1.44375,6.51875,0.85625,0.01875,0.26875000000000004
33,short,SB-XT-RPh----,1.175,4.2625,80,1.175,3.925,0.7875,0.025,0.0
33,long,LBE-T-RPhCL--,1.2375,7.225,80,1.6625,9.075,0.9125,0.0125,0.42500000000000004
33,combined,C-EXT-RPHC-UK,1.20625,5.74375,160,1.41875,6.55,0.85,0.01875,0.2124999999999999
82,short,SB-XT-RPh----,0.9,4.0,80,1.225,3.9125,0.8,0.025,0.32500000000000007
82,long,LBE-T-RPhCL--,0.9625,7.0875,80,1.6625,9.0375,0.9125,0.0125,0.7000000000000001
82,combined,C-EXT-RPHC-UK,0.93125,5.54375,160,1.44375,6.61875,0.85625,0.01875,0.5125000000000001
41,short,SB-XT-RPh----,0.7125,4.525,80,1.225,3.9875,0.8,0.025,0.5125000000000001
41,long,LBE-T-RPhCL--,1.2625,9.2,80,1.6625,9.1625,0.9125,0.0125,0.40000000000000013
41,combined,C-EXT-RPHC-UK,0.9875,6.8625,160,1.44375,6.56875,0.85625,0.01875,0.45625000000000004
47,short,SB-XT-RPh----,0.9875,4.0125,80,1.275,3.9625,0.8125,0.025,0.28749999999999987
47,long,LBE-T-RPhCL--,1.25,6.4625,80,1.6625,9.0375,0.9125,0.0125,0.4125000000000001
47,combined,C-EXT-RPHC-UK,1.11875,5.2375,160,1.46875,6.5625,0.8625,0.01875,0.3500000000000001
51,short,SB-XT-RPh----,0.8875,4.25,80,1.175,3.9625,0.7875,0.025,0.2875000000000001
51,long,LBE-T-RPhCL--,0.775,7.1125,80,1.6625,9.025,0.9125,0.0125,0.8875000000000001
51,combined,C-EXT-RPHC-UK,0.83125,5.68125,160,1.41875,6.50625,0.85,0.01875,0.5874999999999999
63,short,SB-XT-RPh----,0.9875,3.9375,80,1.175,3.9,0.7875,0.025,0.1875
63,long,LBE-T-RPhCL--,0.8125,6.9875,80,1.6125,9.1875,0.9,0.0125,0.8
63,combined,C-EXT-RPHC-UK,0.9,5.4625,160,1.39375,6.5625,0.84375,0.01875,0.49375
99,short,SB-XT-RPh----,1.25,4.3625,80,1.225,4.0,0.8,0.025,-0.02499999999999991
99,long,LBE-T-RPhCL--,1.125,7.9125,80,1.6625,9.0375,0.9125,0.0125,0.5375000000000001
99,combined,C-EXT-RPHC-UK,1.1875,6.1375,160,1.44375,6.58125,0.85625,0.01875,0.2562500000000001
26,short,SB-XT-RPh----,1.1875,4.1625,80,1.275,3.9625,0.8125,0.025,0.08749999999999991
26,long,LBE-T-RPhCL--,1.3125,8.675,80,1.6625,9.1125,0.9125,0.0125,0.3500000000000001
26,combined,C-EXT-RPHC-UK,1.25,6.41875,160,1.46875,6.53125,0.8625,0.01875,0.21875
80,short,SB-XT-RPh----,0.3625,3.85,80,1.025,3.95,0.75,0.025,0.6624999999999999
80,long,LBE-T-RPhCL--,1.15,5.9875,80,1.6125,9.325,0.9,0.0125,0.46250000000000013
80,combined,C-EXT-RPHC-UK,0.75625,4.91875,160,1.31875,6.53125,0.825,0.01875,0.5625000000000001
75,short,SB-XT-RPh----,0.825,3.8625,80,1.225,3.9875,0.8,0.025,0.40000000000000013
75,long,LBE-T-RPhCL--,1.3,6.925,80,1.6625,9.1,0.9125,0.0125,0.36250000000000004
