subject_ID,fit,horizon,n_games,uniform_reward,informed_reward,uniform_draws,informed_draws,uniform_correct,informed_correct,uniform_missed,informed_missed
33,long,long,80,1.6625,1.6625,9.0,9.175,0.9125,0.9125,0.0125,0.0125
82,long,long,80,1.6625,1.6625,8.875,9.1875,0.9125,0.9125,0.0125,0.0125
41,long,long,80,1.6625,1.6625,9.1125,9.075,0.9125,0.9125,0.0125,0.0125
47,long,long,80,1.6625,1.6625,8.9875,9.1,0.9125,0.9125,0.0125,0.0125
51,long,long,80,1.6625,1.6625,9.1125,9.075,0.9125,0.9125,0.0125,0.0125
63,long,long,80,1.6125,1.6125,9.225,9.225,0.9,0.9,0.0125,0.0125
99,long,long,80,1.6625,1.6625,9.05,9.25,0.9125,0.9125,0.0125,0.0125
26,long,long,80,1.6625,1.6625,8.9125,9.125,0.9125,0.9125,0.0125,0.0125
80,long,long,80,1.6125,1.6125,8.775,9.3375,0.9,0.9,0.0125,0.0125
75,long,long,80,1.6625,1.6625,9.0875,9.1375,0.9125,0.9125,0.0125,0.0125
13,long,long,80,1.6625,1.6625,8.9625,9.275,0.9125,0.9125,0.0125,0.0125
29,long,long,80,1.6125,1.6125,9.0875,9.1125,0.9,0.9,0.0125,0.0125
46,long,long,80,1.5625,1.5625,9.0125,9.2,0.8875,0.8875,0.0125,0.0125
52,long,long,80,1.6125,1.6125,8.9625,9.175,0.9,0.9,0.0125,0.0125
67,long,long,80,1.6625,1.6625,9.0,8.9,0.9125,0.9125,0.0125,0.0125
105,long,long,80,1.6625,1.6625,8.975,9.0125,0.9125,0.9125,0.0125,0.0125
101,long,long,80,1.6625,1.6625,9.05,9.1625,0.9125,0.9125,0.0125,0.0125
61,long,long,80,1.6625,1.6625,9.0,9.1875,0.9125,0.9125,0.0125,0.0125
27,long,long,80,1.6625,1.6625,9.0375,9.125,0.9125,0.9125,0.0125,0.0125
93,long,long,80,1.5625,1.5625,9.05,9.1375,0.8875,0.8875,0.0125,0.0125
17,long,long,80,1.5625,1.5625,8.9125,9.1375,0.8875,0.8875,0.0125,0.0125
7,long,long,80,1.6125,1.6125,8.9875,9.0375,0.9,0.9,0.0125,0.0125
12,long,long,80,1.6625,1.6625,9.0125,8.9875,0.9125,0.9125,0.0125,0.0125
103,long,long,80,1.6625,1.6625,8.95,9.2375,0.9125,0.9125,0.0125,0.0125
48,long,long,80,1.6625,1.6625,8.8875,9.0875,0.9125,0.9125,0.0125,0.0125
43,long,long,80,1.6625,1.6625,8.975,9.1875,0.9125,0.9125,0.0125,0.0125
100,long,long,80,1.6625,1.6625,9.0875,9.125,0.9125,0.9125,0.0125,0.0125
45,long,long,80,1.6625,1.6625,9.0625,9.1375,0.9125,0.9125,0.0125,0.0125
73,long,long,80,1.6125,1.6125,9.075,9.1,0.9,0.9,0.0125,0.0125
24,long,long,80,1.6625,1.6625,9.025,9.025,0.9125,0.9125,0.0125,0.0125
71,long,long,80,1.6125,1.6125,8.975,9.2875,0.9,0.9,0.0125,0.0125
76,long,long,80,1.6625,1.6625,8.9875,9.1625,0.9125,0.9125,0.0125,0.0125
