subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
8,short,SB-XT-RPh----,1.025,4.3125,80,0.95,4.27,0.70875,0.11500000000000002,1.175,3.9125,0.7875,0.025,0.13375,1.474375,0.533125,0.00125,0.695,3.168125,0.625,0.195,0.8887500000000002,4.26125,0.694375,0.11125,0.168125,3.913125,0.5325,0.038125,,,,,,,,,0.15000000000000013,-0.8912499999999999,-0.07499999999999996
8,long,LBE-T-RPhCL--,1.1,8.55,80,1.1,8.598125,0.76625,0.035,1.6625,8.9875,0.9125,0.0125,0.43499999999999994,1.573125,0.60875,0.0,0.7725,2.21,0.693125,0.0,1.095625,8.523125,0.765,0.035625,0.60875,7.183750000000001,0.649375,0.01125,1.144375,8.626875,0.776875,0.036875,1.14375,9.615625,0.77375,0.04875,0.5625,-0.6650000000000001,0.0
8,combined,C-EXT-RPHC-UK,1.0625,6.43125,160,0.9553125,6.3490625000000005,0.7178125,0.08406250000000001,1.41875,6.48125,0.85,0.01875,0.8015625,2.4237499999999996,0.6990624999999999,0.0053125,0.7837500000000001,2.31625,0.6940625,0.0075000000000000015,,,,,0.9384375,6.3828125,0.7128125,0.0871875,0.9243750000000001,6.3615625,0.7090624999999999,0.088125,,,,,0.35624999999999996,-0.26093750000000004,-0.10718749999999999
32,short,SB-XT-RPh----,1.0875,3.5375,80,0.764375,3.5375,0.678125,0.05187499999999999,1.225,3.925,0.8,0.025,-0.045625,1.49375,0.488125,0.001875,0.63,2.07125,0.6475,0.04,0.73875,3.5318750000000003,0.67,0.05874999999999999,0.044375,3.156875,0.506875,0.016875,,,,,,,,,0.13750000000000018,-1.133125,-0.3231249999999999
32,long,LBE-T-RPhCL--,1.15,5.825,80,1.070625,5.829375,0.7675,0.000625,1.6625,8.875,0.9125,0.0125,0.12,1.523125,0.53,0.0,0.778125,2.24125,0.69375,0.003125,1.0875,5.795625,0.771875,0.0,0.20749999999999996,4.39,0.551875,0.0,1.065625,5.885,0.76625,0.000625,1.0075,5.571875,0.751875,0.0,0.5125000000000002,-1.0299999999999998,-0.07937499999999997
32,combined,C-EXT-RPHC-UK,1.11875,4.68125,160,0.8471875000000001,4.6775,0.7003125000000001,0.0459375,1.44375,6.50625,0.85625,0.01875,0.7056250000000001,2.073125,0.6753125,0.004375,0.7143750000000001,2.065625,0.6775,0.004375,,,,,0.8390625,4.6621875,0.6975,0.0490625,0.8474999999999999,4.685,0.7,0.0475,,,,,0.3250000000000002,-0.41312499999999985,-0.2715624999999998
68,short,SB-XT-RPh----,0.9125,4.2,80,0.6025,4.21875,0.611875,0.155,1.325,3.9,0.825,0.025,0.12625,1.53875,0.530625,0.00375,0.57,2.2,0.62125,0.085,0.6325,4.164375,0.621875,0.145,0.052500000000000005,3.8775,0.50125,0.0475,,,,,,,,,0.4125,-0.78625,-0.30999999999999994
68,long,LBE-T-RPhCL--,1.0625,6.6375,80,1.095625,6.740625,0.765,0.035625,1.6625,9.0,0.9125,0.0125,0.0775,1.501875,0.519375,0.0,0.8306249999999998,3.2287499999999993,0.699375,0.033125,1.183125,6.664375,0.790625,0.020625,0.035,4.99,0.50875,0.0,1.095625,6.751250000000001,0.76625,0.030625000000000003,1.050625,5.885,0.760625,0.008125,0.6000000000000001,-0.985,0.03312500000000007
68,combined,C-EXT-RPHC-UK,0.9875,5.41875,160,0.9690625,5.34,0.725625,0.0665625,1.49375,6.38125,0.86875,0.01875,0.8090624999999999,2.1446875,0.7012499999999999,0.0040625,0.7725,2.1293750000000005,0.6918749999999999,0.005,,,,,0.9134374999999999,5.36625,0.7112499999999999,0.06843750000000001,0.9200000000000002,5.385,0.7143750000000001,0.06250000000000001,,,,,0.5062499999999999,-0.17843750000000014,-0.018437499999999996
70,short,SB-XT-RPh----,0.8875,4.3,80,0.76625,4.423125,0.634375,0.22875,1.275,3.9375,0.8125,0.025,0.03125,1.47875,0.5075,0.00125,0.53375,3.3362500000000006,0.57,0.25375,0.77625,4.371875,0.641875,0.20875,0.088125,3.655,0.515,0.028125,,,,,,,,,0.38749999999999996,-0.85625,-0.12124999999999997
