fit,subject_ID,seed,human,model,n_games
short,68,32,73.0,66.0,80
short,68,33,73.0,53.0,80
short,68,34,73.0,36.0,80
short,68,35,73.0,48.0,80
short,68,36,73.0,32.0,80
short,68,37,73.0,49.0,80
short,68,38,73.0,29.0,80
short,68,39,73.0,66.0,80
short,68,40,73.0,52.0,80
short,68,41,73.0,22.0,80
short,68,42,73.0,61.0,80
short,68,43,73.0,54.0,80
short,68,44,73.0,68.0,80
short,68,45,73.0,53.0,80
short,68,46,73.0,65.0,80
short,68,47,73.0,67.0,80
short,68,48,73.0,37.0,80
short,68,49,73.0,30.0,80
short,70,0,71.0,72.0,80
short,70,1,71.0,72.0,80
short,70,2,71.0,55.0,80
short,70,3,71.0,60.0,80
short,70,4,71.0,55.0,80
short,70,5,71.0,47.0,80
short,70,6,71.0,62.0,80
short,70,7,71.0,34.0,80
short,70,8,71.0,71.0,80
short,70,9,71.0,61.0,80
short,70,10,71.0,64.0,80
short,70,11,71.0,66.0,80
short,70,12,71.0,58.0,80
short,70,13,71.0,80.0,80
short,70,14,71.0,56.0,80
short,70,15,71.0,63.0,80
short,70,16,71.0,73.0,80
short,70,17,71.0,79.0,80
short,70,18,71.0,60.0,80
short,70,19,71.0,61.0,80
short,70,20,71.0,74.0,80
short,70,21,71.0,83.0,80
short,70,22,71.0,63.0,80
short,70,23,71.0,58.0,80
short,70,24,71.0,63.0,80
short,70,25,71.0,70.0,80
short,70,26,71.0,44.0,80
short,70,27,71.0,62.0,80
short,70,28,71.0,63.0,80
short,70,29,71.0,74.0,80
short,70,30,71.0,65.0,80
short,70,31,71.0,43.0,80
short,70,32,71.0,69.0,80
short,70,33,71.0,73.0,80
short,70,34,71.0,73.0,80
short,70,35,71.0,57.0,80
short,70,36,71.0,62.0,80
short,70,37,71.0,72.0,80
short,70,38,71.0,80.0,80
short,70,39,71.0,58.0,80
short,70,40,71.0,72.0,80
short,70,41,71.0,68.0,80
short,70,42,71.0,67.0,80
short,70,43,71.0,54.0,80
short,70,44,71.0,66.0,80
short,70,45,71.0,58.0,80
short,70,46,71.0,67.0,80
short,70,47,71.0,74.0,80
short,70,48,71.0,42.0,80
short,70,49,71.0,75.0,80
short,44,0,66.0,10.0,80
short,44,1,66.0,48.0,80
short,44,2,66.0,76.0,80
short,44,3,66.0,31.0,80
short,44,4,66.0,40.0,80
short,44,5,66.0,34.0,80
short,44,6,66.0,61.0,80
short,44,7,66.0,56.0,80
short,44,8,66.0,39.0,80
short,44,9,66.0,7.0,80
short,44,10,66.0,34.0,80
short,44,11,66.0,47.0,80
